hotel_id,avg_rate,distance,star_rating,user_rating,lat,lng
83,175.67,0.4782120005,3.0,4.0,40.7059140969,-74.0049697756
84,149.0,0.3729962636,3.5,4.0,40.7074028111,-74.0063953988
85,149.0,0.4760318444,4.0,4.5,40.70947,-74.01394
86,171.84,0.7543640589,3.0,4.5,40.70296,-74.01226
87,90.0,0.8115742141,2.0,2.5,40.718638,-73.992581
88,90.21,1.121015778,3.0,,40.7230062833,-73.9893875
89,279.0,1.6536974762,4.0,4.5,40.7334742976,-73.9900673926
90,238.33,1.053539458,4.0,4.0,40.719787,-73.988158
91,125.67,0.7501745145,3.0,3.5,40.7195117986,-73.9947597166
92,94.5,0.6518098839,3.0,3.5,40.7136331667,-73.9936341667
93,168.97,1.8560153475,4.0,4.5,40.68955362,-73.98821994
94,139.0,0.9364345244,3.0,4.0,40.7185680165,-73.9898553761
95,135.67,0.4496335962,4.0,4.0,40.706717157,-74.0090707242
96,118.15,1.0680497444,3.0,4.0,40.72112916,-73.9888534703
97,114.24,0.6479415111,2.5,3.0,40.71431,-73.99382
